temperature,ordered_probability,amorphous_probability
0.85,0.963729,0.036271
0.85,0.999789,0.000211
0.85,0.999989,1.1e-05
0.85,0.99975,0.00025
0.85,0.998161,0.001839
0.85,0.999616,0.000384
0.85,0.999945,5.5e-05
0.85,0.977003,0.022997
0.85,0.999898,0.000102
0.85,0.999986,1.4e-05
0.85,0.999168,0.000832
0.85,0.999361,0.000639
0.85,0.997548,0.002452
0.85,0.999959,4.1e-05
0.85,0.999959,4.1e-05
0.85,0.998468,0.001532
0.85,0.994315,0.005685
0.85,0.999976,2.4e-05
0.85,0.999989,1.1e-05
0.85,0.999984,1.6e-05
0.85,0.99999,1e-05
0.85,0.999381,0.000619
0.85,0.999777,0.000223
0.85,0.958938,0.041062
0.85,0.99999,1e-05
0.85,0.960049,0.039951
0.85,0.999931,6.9e-05
0.85,0.999704,0.000296
0.85,0.997824,0.002176
0.85,0.998799,0.001201
0.85,0.997803,0.002197
0.85,0.904749,0.095251
0.85,0.998614,0.001386
0.85,0.999982,1.8e-05
0.85,0.999988,1.2e-05
0.85,0.999983,1.7e-05
0.85,0.996913,0.003087
0.85,0.999958,4.2e-05
0.85,0.999984,1.6e-05
0.85,0.993269,0.006731
0.85,0.996779,0.003221
0.85,0.999987,1.3e-05
0.85,0.999989,1.1e-05
0.85,0.997604,0.002396
0.85,0.999953,4.7e-05
0.85,0.999965,3.5e-05
0.85,0.999986,1.4e-05
0.85,0.915112,0.084889
0.85,0.999141,0.000859
0.85,0.998997,0.001003
0.85,0.999987,1.3e-05
0.85,0.999018,0.000982
0.85,0.999826,0.000174
0.85,0.999979,2.1e-05
0.85,0.997982,0.002018
0.85,0.99999,1e-05
0.85,0.999412,0.000588
0.85,0.999981,1.9e-05
0.85,0.99922,0.00078
0.85,0.999858,0.000142
0.85,0.989869,0.010131
0.85,0.999743,0.000257
0.85,0.999964,3.6e-05
0.85,0.999959,4.1e-05
0.85,0.999972,2.8e-05
0.85,0.999721,0.000279
0.85,0.999967,3.2e-05
0.85,0.999964,3.6e-05
0.85,0.999986,1.4e-05
0.85,0.997878,0.002122
0.85,0.99999,1e-05
0.85,0.999881,0.000119
0.85,0.999286,0.000714
0.85,0.999886,0.000114
0.85,0.999784,0.000216
0.85,0.999882,0.000118
0.85,0.994171,0.005829
0.85,0.997746,0.002254
0.85,0.999957,4.3e-05
0.85,0.999981,1.9e-05
0.85,0.999976,2.4e-05
0.85,0.999888,0.000112
0.85,0.999889,0.000111
0.85,0.999989,1.1e-05
0.85,0.999987,1.3e-05
0.85,0.999991,9e-06
0.85,0.990412,0.009588
0.85,0.999152,0.000848
0.85,0.999285,0.000715
0.85,0.994221,0.005779
0.85,0.999702,0.000298
0.85,0.999989,1.1e-05
0.85,0.999954,4.6e-05
0.85,0.999189,0.000811
0.85,0.999408,0.000592
0.85,0.999985,1.5e-05
0.85,0.999989,1.1e-05
0.85,0.998283,0.001717
0.85,0.999972,2.8e-05
0.85,0.999952,4.8e-05
0.856,0.999942,5.8e-05
0.856,0.999942,5.8e-05
0.856,0.999985,1.5e-05
0.856,0.999987,1.3e-05
0.856,0.999962,3.8e-05
0.856,0.999954,4.6e-05
0.856,0.99991,9e-05
0.856,0.998714,0.001286
0.856,0.999537,0.000463
0.856,0.999981,1.9e-05
0.856,0.999966,3.4e-05
0.856,0.999985,1.5e-05
0.856,0.999991,9e-06
0.856,0.999972,2.8e-05
0.856,0.999989,1.1e-05
0.856,0.999978,2.2e-05
0.856,0.999804,0.000196
0.856,0.999192,0.000808
0.856,0.999876,0.000124
0.856,0.987054,0.012946
0.856,0.999442,0.000558
0.856,0.999988,1.2e-05
0.856,0.999968,3.1e-05
0.856,0.999451,0.000549
0.856,0.997986,0.002014
0.856,0.999981,1.9e-05
0.856,0.999759,0.000241
0.856,0.999489,0.000511
0.856,0.999976,2.4e-05
0.856,0.998106,0.001894
0.856,0.999976,2.4e-05
0.856,0.999825,0.000175
0.856,0.999866,0.000133
0.856,0.999902,9.8e-05
0.856,0.999811,0.000189
0.856,0.998462,0.001538
0.856,0.975838,0.024162
0.856,0.999941,5.9e-05
0.856,0.999959,4.1e-05
0.856,0.999949,5.1e-05
0.856,0.999454,0.000546
0.856,0.99988,0.00012
0.856,0.999741,0.000259
0.856,0.999763,0.000237
0.856,0.997812,0.002188
0.856,0.999243,0.000757
0.856,0.999984,1.6e-05
0.856,0.999895,0.000105
0.856,0.999981,1.9e-05
0.856,0.999936,6.5e-05
0.856,0.999791,0.000209
0.856,0.998011,0.001989
0.856,0.9999,1e-04
0.856,0.999554,0.000446
0.856,0.999724,0.000276
0.856,0.999901,9.9e-05
0.856,0.999891,0.000109
0.856,0.999516,0.000484
0.856,0.999978,2.2e-05
0.856,0.999468,0.000531
0.856,0.99996,4e-05
0.856,0.999988,1.2e-05
0.856,0.99999,1e-05
0.856,0.999976,2.4e-05
0.856,0.998791,0.001209
0.856,0.999257,0.000743
0.856,0.983616,0.016384
0.856,0.999535,0.000465
0.856,0.99996,4e-05
0.856,0.999579,0.000421
0.856,0.999349,0.000651
0.856,0.998873,0.001127
0.856,0.999752,0.000248
0.856,0.998574,0.001425
0.856,0.999985,1.5e-05
0.856,0.999781,0.000219
0.856,0.999989,1.1e-05
0.856,0.999507,0.000493
0.856,0.999988,1.2e-05
0.856,0.999851,0.000149
0.856,0.999535,0.000465
0.856,0.99999,1e-05
0.856,0.999978,2.2e-05
